job_name,org_name,deadline,loc_name
Consultant to Develop an Environmental Management Plan (EMP),DID,"Fri, 2018-03-16",THUA THIEN HUE
Assistant Coordinator,BCC PROJECT,"Thu, 2018-03-15",HO CHI MINH
Consultant to Conduct Evaluation of the Results of District-level Capacity Building on Developing and Implementing the Climate Change Adaptation Action Plan,MCD,"Sun, 2018-03-11",HO CHI MINH
Consultant for Research on: Female (rural) Migrant WorkersÃ¢â‚¬â„¢ Access to Social Justice in the Electronics Industry in Vietnam,RLS,"Wed, 2018-03-21",HO CHI MINH
Construction Technician cum Supervisor,HFHV,"Fri, 2018-03-30","HA NOI, HO CHI MINH"
Marketing Manager,LORETO,"Fri, 2018-03-23","HA NOI, HO CHI MINH"
Project Officer,LORETO,"Fri, 2018-03-23","HA NOI, HO CHI MINH"
Access to Finance Specialist,WINROCK INTERNATIONAL,"Fri, 2018-03-23",NA
Communication and Outreach Specialist,WINROCK INTERNATIONAL,"Fri, 2018-03-23",NA
Grants Manager,WINROCK INTERNATIONAL,"Fri, 2018-03-23",NA
Monitoring and Evaluation Manager,WINROCK INTERNATIONAL,"Fri, 2018-03-23","HA NOI, HO CHI MINH"
Operations Manager,WINROCK INTERNATIONAL,"Fri, 2018-03-23","HA NOI, HO CHI MINH"
SME Investment Specialist,WINROCK INTERNATIONAL,"Fri, 2018-03-23","HA NOI, HO CHI MINH"
Senior Program Accountant,WINROCK INTERNATIONAL,"Fri, 2018-03-23","HA NOI, HO CHI MINH"
Trade Facilitation Specialist,WINROCK INTERNATIONAL,"Fri, 2018-03-23","HA NOI, HO CHI MINH"
Consultant/ Consultant team to Provide Technical Assistance on Development of Technology Application in Environmental Pollution Treatment in Thanh Hoa,WINROCK INTERNATIONAL,"Tue, 2018-03-20","HA NOI, THANH HOA"
Income Generation Officer ,GNI,"Fri, 2018-03-30",THANH HOA
Program Executive Officer,COWATERSOGEMA,"Wed, 2018-03-21",HA NOI
Bussiness Engagement and Communication Consultant,LIVE&LEARN,"Tue, 2018-03-13",NA
Consultants for Development of the Provincial Climate Change Scenarios to Map Climate Risks and Vulnerable Areas,TRA VINH DONRE,"Thu, 2018-03-29",NA
Provincial Intern,CHILDFUND VIETNAM,"Mon, 2018-03-19",CAO BANG
Project Facilitation Officer,CHILDFUND VIETNAM,"Mon, 2018-03-19",CAO BANG
Area Program Manager,WORLD VISION,"Thu, 2018-03-15",QUANG NGAI
Project Coordinator,WORLD VISION,"Thu, 2018-03-15",QUANG NGAI
Development Facilitator,WORLD VISION,"Thu, 2018-03-15",DAK NONG
Associate Ã¢â‚¬â€œ GirlsÃ¢â‚¬â„¢ Education Program,ROOM TO READ,"Tue, 2018-03-20",TRA VINH
Team Leader: Green Growth Plan Development and Landscapes Coordination,IDH,"Sat, 2018-03-24","LAM DONG , HO CHI MINH"
Communication and Events Manager,SAIGONCHILDREN,"Fri, 2018-03-23",HO CHI MINH
Consultancy Opportunities at Aide et Action Vietnam,AIDE ET ACTION VIETNAM,"Sun, 2018-03-18",HA NOI
Junior Programme Officer - Ã¢â‚¬Å“Legal AdviseÃ¢â‚¬ï¿½,GIZ,"Mon, 2018-03-19",NA
Vietnam Country Coordinator,ICRAFT,"Wed, 2018-03-21",HA NOI
Admin Assistant Intern,GIZ BIO FORESTRY PROJECT,"Wed, 2018-03-14",HA NOI
Vacancies at Winrock International,WINROCK INTERNATIONAL,"Sat, 2018-03-31",HO CHI MINH
International Individual Consultant to Support in Evaluating the National Urban Upgrading Program (NUUP),MANAGEMENT OF URBAN DEVELOPMENT PROJECTS (MUDP),"Mon, 2018-03-12",HA NOI
"Project Coordinator, Law and Advocacy",TOWARDS TRANSPARENCY (TT),"Mon, 2018-03-19","HA NOI, HO CHI MINH"
Communications and External Relations Officer; Executive Designer,MARIE STOPES INTERNATIONAL (MSI),"Sat, 2018-03-31",HA NOI
Project Assistant,AMDI,"Fri, 2018-03-16",HO CHI MINH
Head of Research Center and M&E,AMDI,"Tue, 2018-03-20",HA NOI
Studio V Project Manager,RMIT VIETNAM,"Tue, 2018-03-20",NA
Project Intern,ILO,"Fri, 2018-03-16",NA
Project Assistant,THE VIETNAM FOUNDATION (VNF),"Thu, 2018-03-15",HA NOI
Project Officer,SAVE THE CHILDREN,"Sun, 2018-03-18",HO CHI MINH
Consultant to Provide Training on Child-center Methodology (CCM) for Primary Teachers,AEAI,"Tue, 2018-03-13",HA NOI
Energy Sector Assistant,SNV,"Wed, 2018-03-14",HA NOI
Consultancy Opportunities at Oxfam,OXFAM,"Mon, 2018-03-05",HA NOI
IT Consultant,ACTIONAID,"Wed, 2018-03-07",HA NOI
 Consultant for Developing S-City Mobile Phone Application,ACTIONAID,"Wed, 2018-03-07",HA NOI
Social Development Specialist,WORLD BANK,"Thu, 2018-03-08",HO CHI MINH
Development and Design of Program Database /MIS Consultant,COWATERSOGEMA,"Thu, 2018-03-15",NA
Project Officer,FIT,"Sun, 2018-03-11",NA
Events Coordinator,FIT,"Sun, 2018-03-11",HO CHI MINH
Nurse (2 positions),IOM,"Thu, 2018-03-15",HA NOI
Consultant to Support the eHTN.Tracker Implementation,PATH,"Thu, 2018-03-15",HO CHI MINH
Consultant Team (Endline Survey Ã¢â‚¬â€œ Final Evaluation report),SAVE THE CHILDREN,"Mon, 2018-03-12",HA NOI
Health Advisor ,MDM,"Fri, 2018-03-09",HA NOI
Research Consultant on Financing for Development in Vietnam,OXFAM,"Fri, 2018-03-16",HA NOI
Blossom House for girls Social Worker,HSCV,"Sun, 2018-03-25",DAK LAK
Program Coordinator  ,ENV,"Sun, 2018-04-01",NA
Consultant Team to Conduct Biodiversity Survey,FFI,"Wed, 2018-03-07",NA
"Consultancy Service for ""Macadamia Pilot and Demonstration Project""",SNV,"Sat, 2018-03-10",NA
Office Manager (Maternal Leave Substitute),RLS,"Tue, 2018-03-13",HA NOI
Consultancy Service for Office Events,CARE INTERNATIONAL,"Fri, 2018-03-02",HA NOI
Junior M&E Officer cum Program Assistant,SNV,"Wed, 2018-03-14",NINH BINH
Education and Communication Manager,FOUR PAWS VIET,"Sat, 2018-03-31",HA NOI
Consultancy Service for Assessment / Evaluation of the Project Ã¢â‚¬Å“Legal Assistance to Contract FarmingÃ¢â‚¬ï¿½,ADDA,"Thu, 2018-03-08",HOME BASED
Sustainable Agriculture Manager; Accountant,SRD,"Fri, 2018-03-16",HA NOI
Legal Coordinator,CHANGE,"Mon, 2018-03-05",HA NOI
Technical Advisor; Sr. Technical Specialists; Sr. Surveillance and M&E Specialist,FHI 360,"Wed, 2018-03-14",NA
Consultant to Conduct Baseline Survey and Development of Project MEAL Tools for SIDA CSO Project,SAVE THE CHILDREN,"Fri, 2018-03-09",NA
Consultancy Service for Pepper Documentary Film Production,IDH,"Fri, 2018-03-30",NA
Finance Officer,GNI,"Thu, 2018-03-15",SON LA
Receptionist,WWF,"Sat, 2018-03-10",HA NOI
Consultant to Provide Training Course on Positive Discipline at School,SAVE THE CHILDREN,"Fri, 2018-03-09",HA NOI
Consultance for Translation,SAVE THE CHILDREN,"Fri, 2018-03-09",HO CHI MINH
Project Coordinator,RI KOREA,"Fri, 2018-03-02",HA NOI
Consultant of Construction Guide Adaption for Labour Inspection,ILO,"Mon, 2018-03-12",HA NOI
Project Officer,HAIVN,"Wed, 2018-03-21",HA NOI
Officer,GNI,"Sat, 2018-03-10",NA
Cook Cum Office Cleaner,CRS,"Sun, 2018-03-11",NA
Liaison Officer; Project Officers,GIZ,"Tue, 2018-03-13",NA
Project Officer; Administrative Assistant cum Translator,GIZ,"Wed, 2018-03-07",HA NOI
"Monitoring, Evaluation and Learning (MEL) Coordinator",OXFAM,"Tue, 2018-03-06",CAMBODIA
Tender Notice,SAVE THE CHILDREN,"Mon, 2018-02-26",HA NOI
Associate Financial Management Officer,ADB,"Thu, 2018-03-15",DA NANG
Monitoring & Evaluation (M&E) Assistant,ECODIT,"Wed, 2018-03-07",HA NOI
Consultant(s) to Support the Development of a Mobile Application for Agrochemical Purpose,IDH,"Sun, 2018-03-11",HO CHI MINH
Support Services Intern,SAVE THE CHILDREN,"Sun, 2018-03-04","LAI CHAU, KONTUM"
Finance Assistant,SAVE THE CHILDREN,"Sun, 2018-03-04",HA NOI
Consultant for ATL Trainings in Math,PLAN INTERNATIONAL,"Thu, 2018-03-01",NA
Political Economy Analyst,INVESTING IN WOMEN,"Mon, 2018-03-12",NA
Vacancies at CHD,CHD,"Thu, 2018-03-15","HA NOI, HO CHI MINH"
Technical Advisor (Consultant),DSED PMU,"Thu, 2018-03-08",NA
Youth Employment ICT Officer,SAVE THE CHILDREN,"Sun, 2018-03-04",HO CHI MINH
Human Resources Intern,SAVE THE CHILDREN,"Sun, 2018-03-04",HA NOI
Request for Quote - Creative Works for Fan Page,FHI 360,"Wed, 2018-02-28",HOI AN
Education Scholarship and Customer Service Officer,LIFESTART FOUNDATION,"Thu, 2018-03-22",HA NOI
Researcher,ISEE,"Thu, 2018-03-15",HA NOI
Senior Researcher,ISEE,"Thu, 2018-03-15",HA NOI
Communication Officer ,ISEE,"Thu, 2018-03-15","HA NOI, HA GIANG, LAI CHAU, QUANG BINH , QUANG TRI"
Consultant Team or Firm to Conduct Program Mid-term Review,PLAN INTERNATIONAL,"Mon, 2018-03-12",NA
AEA Regional Director,PACT,"Sat, 2018-03-10",HO CHI MINH
Consultant to Assist Project Implementation and Quality Assurance,PATH,"Wed, 2018-02-28",LAO CAI
Consultant (Labor Market Assessment Ã¢â‚¬â€œ LMA),SAVE THE CHILDREN,"Wed, 2018-02-28",THANH HOA
Finance Assistant,SAVE THE CHILDREN,"Wed, 2018-02-28",HO CHI MINH
Sponsorship Service Division Officer,GNI,"Sat, 2018-03-10",HA NOI
Child Protection Project Assistant,SAVE THE CHILDREN,"Wed, 2018-02-28",HA NOI
Health Services (HS) Senior Manager,PSI,"Mon, 2018-02-26",HA NOI
International Volunteer,CHILDFUND VIETNAM,"Sun, 2018-02-25","HA NOI, HO CHI MINH"
Admin Consultant,WCS,"Wed, 2018-02-28",NA
Promotion and Marketing Consultancy Services,SNV,"Sun, 2018-03-11",NA
Research Consultants - Workplace Gender Equality Case Study,INVESTING IN WOMEN,"Mon, 2018-02-19",HA NOI
Migrant Services Assistant,IOM,"Wed, 2018-02-28","HA NOI, GIA LAI, BINH PHUOC, DAK LAK, DAK NONG"
Vacancies at SCDI,SCDI,"Thu, 2018-03-15",HA NOI
Administration Intern,TOWARDS TRANSPARENCY,"Wed, 2018-02-28",HA NOI
Administrative Assistant Ã¢â‚¬Å“FPÃ¢â‚¬ï¿½,GIZ,"Fri, 2018-03-02",PHNOM PENH
Mekong Regional Water Governance Project Manager,OXFAM,"Fri, 2018-02-16",PHNOM PENH
Mekong Basin Manager,OXFAM,"Fri, 2018-02-16",HA NOI
Communications Intern,OXFAM,"Sun, 2018-03-04",HA NOI
Project Manager/Gender Specialist,OXFAM,"Sun, 2018-03-04",NA
